Camr_Nm,Lat,Long
Copal EC13-14,9.7826,-83.7554
Copal EC301-302,9.7804,-83.7546
Marta LM1-2,9.7685,-83.6823
Marta LM3,9.7651,-83.6791
Marta LM4-5,9.7861,-83.6915
Marta LM6-7,9.7679,-83.6834
Savegre Valley 1,9.5516,-83.7976
Savegre Valley 2,9.5515,-83.7928
Savegre Valley 3,9.5486,-83.7915
Savegre Valley 4,9.5502,-83.791
Savegre Valley 5R,9.5516,-83.7976
Savegre Valley 6,9.5453,-83.7956
Savegre Valley 7,9.5412,-83.7977
Savegre Valley 8,9.5465,-83.8001
Savegre Valley 10,9.5514,-83.7927
Savegre Valley 11,9.5453,-83.7956
Savegre Valley 16,9.5502,-83.791
Savegre Valley 18,9.5514,-83.7927
Savegre Valley 19,9.5413,-83.7977
Savegre Valley Camp2,9.5512,-83.791
Savegre Valley Camp3,9.5505,-83.7995
Savegre Valley Camp4,9.5675,-83.7942
Savegre Valley Catar15,9.539,-83.8181
Savegre Valley Catar32,9.5392,-83.8181
Savegre Valley Chanchos28,9.6019,-83.8212
Savegre Valley Chanchos29,9.5904,-83.8171
Savegre Valley Chanchos30,9.5781,-83.8145
Savegre Valley Chanchos31,9.5807,-83.817
Savegre Valley Chanchos33,9.5996,-83.8197
Savegre Valley Danta4,9.5538,-83.8075
Savegre Valley Dantica14,9.5847,-83.8011
Savegre Valley Dantica15,9.5858,-83.7933
Savegre Valley Dantica28,9.5864,-83.8011
Savegre Valley Dantica29,9.5855,-83.802
Savegre Valley Finca3,9.5512,-83.8074
Savegre Valley Finca17,9.5517,-83.8072
Savegre Valley Finca20,9.5517,-83.8072
Savegre Valley Finca22,9.5521,-83.8167
Savegre Valley Lagos23,9.5577,-83.7811
Savegre Valley Lagos24,9.5589,-83.7883
Savegre Valley Lagos25,9.5631,-83.7968
Savegre Valley Sarah,9.5391,-83.8184
Savegre Valley Torres21,9.5541,-83.7767
Savegre Valley Torres22,9.5534,-83.7788
Savegre Valley Vueltas26,9.6145,-83.8564
Savegre Valley Vueltas27,9.6193,-83.8545
Savegre Valley West2,9.5537,-83.8083
Savegre Valley West3,9.554,-83.8084
Savegre Valley West4,9.5536,-83.8085
Savegre Valley West23,9.5536,-83.8085
Tapanti T1-2,9.729,-83.7763
Tapanti T03-04,9.7175,-83.781
Tapanti T5-6,9.7068,-83.7793
Tapanti T07-08,9.6954,-83.7821
Tapanti T7-8,9.6954,-83.7821
Tapanti T9-10,9.6963,-83.7714
Tapanti T13-14,9.7082,-83.7917
Tapanti T15-16,9.6872,-83.8686
Tapanti T17-18,9.6994,-83.8625
Tapanti T19-20,9.712,-83.8577
Tapanti T21-22,9.6958,-83.8583
Tapanti T23-24,9.6582,-83.8315
Tapanti T105,9.681,-83.8011
Tapanti T106,9.6856,-83.795
Tapanti T107,9.6867,-83.7908
