Cameraname,StartMonth,StartYear,EndMonth,EndYear
Copal EC13-14,10,2014,1,2015
Copal EC301-302,7,2013,10,2013
Marta LM1-2,10,2014,1,2015
Marta LM3,9,2015,12,2015
Marta LM4-5,11,2013,1,2014
Marta LM6-7,5,2015,8,2015
Savegre Valley 1,7,2013,10,2013
Savegre Valley 2,12,2015,3,2016
Savegre Valley 3,4,2013,6,2013
Savegre Valley 4,7,2012,10,2012
Savegre Valley 5R,8,2012,11,2012
Savegre Valley 6,2,2014,5,2014
Savegre Valley 7,6,2014,9,2014
Savegre Valley 8,10,2013,2,2014
Savegre Valley 10,4,2012,7,2012
Savegre Valley 11,3,2013,6,2013
Savegre Valley 16,3,2013,6,2013
Savegre Valley 18,3,2013,6,2013
Savegre Valley 19,3,2013,6,2013
Savegre Valley Camp2,6,2012,8,2012
Savegre Valley Camp3,7,2012,8,2012
Savegre Valley Camp4,6,2014,7,2014
Savegre Valley Catar15,6,2012,8,2012
Savegre Valley Catar32,6,2013,7,2013
Savegre Valley Chanchos28,6,2012,8,2012
Savegre Valley Chanchos29,7,2012,8,2012
Savegre Valley Chanchos30,6,2012,8,2012
Savegre Valley Chanchos31,6,2012,8,2012
Savegre Valley Chanchos33,6,2014,7,2014
Savegre Valley Danta4,4,2012,7,2012
Savegre Valley Dantica14,2,2014,3,2014
Savegre Valley Dantica15,1,2014,3,2014
Savegre Valley Dantica28,10,2013,1,2014
Savegre Valley Dantica29,3,2014,6,2014
Savegre Valley Finca3,2,2013,4,2013
Savegre Valley Finca17,1,2013,3,2013
Savegre Valley Finca20,1,2013,4,2013
Savegre Valley Finca22,1,2013,4,2013
Savegre Valley Lagos23,6,2014,7,2014
Savegre Valley Lagos24,7,2012,8,2012
Savegre Valley Lagos25,7,2012,8,2012
Savegre Valley Sarah,1,2013,4,2013
Savegre Valley Torres21,6,2012,8,2012
Savegre Valley Torres22,6,2012,8,2012
Savegre Valley Vueltas26,2,2014,5,2014
Savegre Valley Vueltas27,7,2012,10,2012
Savegre Valley West2,1,2016,2,2016
Savegre Valley West3,1,2016,2,2016
Savegre Valley West4,1,2016,2,2016
Savegre Valley West23,1,2016,2,2016
Tapanti T1-2,12,2012,3,2013
Tapanti T03-04,11,2014,3,2015
Tapanti T5-6,2,2013,4,2013
Tapanti T07-08,12,2014,3,2015
Tapanti T7-8,10,2012,1,2013
Tapanti T9-10,12,2012,3,2013
Tapanti T13-14,1,2013,4,2013
Tapanti T15-16,8,2015,11,2015
Tapanti T17-18,12,2014,3,2015
Tapanti T19-20,6,2012,8,2012
Tapanti T21-22,1,2015,4,2015
Tapanti T23-24,11,2012,12,2012
Tapanti T105,8,2014,10,2014
Tapanti T106,7,2014,8,2014
Tapanti T107,9,2014,11,2014
